work_year,experience_level,job_title,company_location,monthly_salary_mad
2025,Intermédiaire,Engineer,Inde,226250.0
2025,Débutant,Data Engineer,Inde,23530.0
2025,Intermédiaire,Data Scientist,Pays-Bas,55690.68333333334
2025,Intermédiaire,Research Fellow,États-Unis,56987.850000000006
2025,Cadre supérieur,Software Development Director,États-Unis,220065.83333333334
2025,Senior,Data Integration Lead,États-Unis,123683.33333333336
2025,Senior,Data Analyst,Canada,78056.25000000001
2025,Senior,Data Governance Manager,États-Unis,110032.91666666667
2025,Senior,AI Architect,États-Unis,188541.66666666666
2025,Intermédiaire,Algorithm Developer,États-Unis,99550.0
2025,Intermédiaire,AI Researcher,États-Unis,331833.3333333334
2025,Intermédiaire,Business Intelligence Developer,États-Unis,60333.333333333336
2025,Senior,Product Owner,États-Unis,163654.1666666667
2025,Senior,Site Reliability Engineer,Canada,91792.64166666668
2025,Senior,Software Developer,Royaume-Uni,68393.86666666667
2025,Intermédiaire,Data Quality Specialist,États-Unis,37337.28333333333
2025,Intermédiaire,AI Engineer,Slovaquie,39057.5375
2025,Senior,AI Solutions Lead,Royaume-Uni,62051.325000000004
2025,Senior,BI Analyst,Royaume-Uni,71597.56666666667
2025,Cadre supérieur,Director,Canada,207018.75
2025,Senior,Solutions Architect,Royaume-Uni,229113.57083333333
2025,Senior,Business Development Representative,États-Unis,75416.66666666667
2025,Intermédiaire,Bioinformatician,États-Unis,64104.16666666668
2025,Senior,Technical Lead,États-Unis,268483.3333333334
2025,Cadre supérieur,Artificial Intelligence Engineer,États-Unis,99927.08333333333
2025,Intermédiaire,Data Specialist,Canada,65157.73750000001
2025,Senior,Product Manager,Tchéquie,38105.025
2025,Intermédiaire,Machine Learning Engineer,Pays-Bas,60987.19583333334
2025,Senior,Engineer,Égypte,22625.0
2025,Senior,Automation Engineer,Royaume-Uni,76552.44166666667
2025,Débutant,Software Engineer,Singapour,69368.25000000001
2025,Intermédiaire,Developer,Lituanie,37152.512500000004
2025,Intermédiaire,Data Analytics Manager,Royaume-Uni,59882.341666666674
2025,Débutant,Data Visualization Designer,France,42124.73333333334
2025,Intermédiaire,Research Associate,Royaume-Uni,37569.56666666667
2025,Intermédiaire,Research Fellow,Royaume-Uni,45964.950000000004
2025,Intermédiaire,Data Operations Engineer,États-Unis,139520.83333333334
2025,Intermédiaire,Research Specialist,États-Unis,130106.57083333335
2025,Cadre supérieur,Head of Machine Learning,États-Unis,381608.3333333333
2025,Senior,Decision Scientist,États-Unis,163427.9166666667
2025,Senior,Data Management Lead,Allemagne,128660.83333333336
2025,Senior,Developer,Autriche,47630.904166666674
2025,Intermédiaire,Automation Engineer,Argentine,67875.00000000001
2025,Débutant,Data Analyst,France,39692.54583333334
2025,Intermédiaire,Solution Specialist,États-Unis,104346.5
2025,Intermédiaire,Data Operations,États-Unis,98192.5
2025,Senior,Lead Data Analysis,États-Unis,134392.50000000003
2025,Intermédiaire,Python Developer,Canada,51175.48750000001
2025,Intermédiaire,Data Archivist,États-Unis,137783.98750000002
2025,Cadre supérieur,Director of Artificial Intelligence,États-Unis,186901.35416666666
2025,Senior,Data Quality Engineer,États-Unis,168631.6666666667
2025,Senior,Product Designer,Canada,155660.00000000003
2025,Intermédiaire,Data Operations Manager,États-Unis,279041.6666666667
2025,Intermédiaire,Research Associate,États-Unis,124437.50000000001
2025,Senior,AI Product Owner,Royaume-Uni,85573.78333333334
2025,Intermédiaire,Machine Learning Developer,États-Unis,69911.25000000001
2025,Intermédiaire,Analyst,Allemagne,149325.00000000003
2025,Cadre supérieur,Principal Researcher,Canada,323213.9625
2025,Intermédiaire,AI Product Specialist,États-Unis,71645.83333333334
2025,Senior,ML Scientist,États-Unis,109354.16666666667
2025,Senior,Manager,Autriche,26463.708333333332
2025,Intermédiaire,Insight Analyst,Mexique,27150.0
2025,Intermédiaire,AI Specialist,Royaume-Uni,116367.91666666667
2025,Senior,System Engineer,Canada,88765.41666666667
2025,Intermédiaire,Computational Biologist,Australie,92537.75833333335
2025,Débutant,Data Scientist,Italie,31754.187500000004
2025,Senior,Data Team Lead,États-Unis,163729.58333333334
2025,Senior,Data Engineer,Pologne,66485.07083333335
2025,Senior,Data Engineer,Lituanie,67636.68333333333
2025,Senior,Data Operations Lead,États-Unis,159204.58333333334
2025,Senior,Machine Learning Researcher,Slovaquie,38105.025
2025,Intermédiaire,Site Reliability Engineer,Royaume-Uni,85917.68333333333
2025,Senior,Solutions Architect,Canada,133056.11666666667
2025,Senior,Data Quality Lead,États-Unis,164936.25000000003
2025,Senior,Data Scientist,Belgique,171572.9166666667
2025,Intermédiaire,Data Engineer,Suisse,87414.70416666668
2025,Intermédiaire,AI Engineer,Royaume-Uni,37569.56666666667
2025,Intermédiaire,Research Scientist,Grèce,47630.904166666674
2025,Senior,Analyst,Singapour,87797.82083333335
2025,Intermédiaire,Research Assistant,États-Unis,37708.333333333336
2025,Intermédiaire,Solutions Engineer,Canada,71645.83333333334
2025,Senior,Developer,Canada,101812.5
2025,Senior,SAS Developer,États-Unis,124893.77083333336
2025,Intermédiaire,Data Governance Manager,Royaume-Uni,62051.325000000004
2025,Senior,Business Intelligence Lead,Slovaquie,28388.34166666667
2025,Senior,Applied Scientist,Canada,196083.33333333334
2025,Senior,Data Management Lead,États-Unis,110862.5
